11.0101,"Computer and Information Sciences, General"
11.0102,Artificial Intelligence and Robotics
11.0103,Information Technology
11.0199,"Computer and Information Sciences, Other"
11.0201,"Computer Programming/Programmer, General"
11.0202,"Computer Programming, Specific Applications"
11.0203,"Computer Programming, Vendor/Product Certification"
11.0299,"Computer Programming, Other"
11.0301,Data Processing and Data Processing Technology/Technician
11.0401,Information Science/Studies
11.0501,Computer Systems Analysis/Analyst
11.0601,"Data Entry/Microcomputer Applications, General"
11.0602,Word Processing
11.0699,"Data Entry/Microcomputer Applications, Other"
11.0701,Computer Science
11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11.0802,Data Modeling/Warehousing and Database Administration
11.0803,Computer Graphics
11.0899,"Computer Software and Media Applications, Other"
11.0901,Computer Systems Networking and Telecommunications
11.1001,System Administration/Administrator
11.1002,"System, Networking, and LAN/WAN Management/Manager"
11.1003,Computer and Information Systems Security
11.1004,Web/Multimedia Management and Webmaster
11.1099,"Computer/Info Tech Services Administration & Management, Other"
11.9999,"Computer and Information Sciences and Support Services, Other"
,
14.0101,"Engineering, General"
14.0201,"Aerospace, Aeronautical and Astronautical Engineering"
14.0301,Agricultural/Biological Engineering and Bioengineering
14.0401,Architectural Engineering
14.0501,Biomedical/Medical Engineering
14.0601,Ceramic Sciences and Engineering
14.0701,Chemical Engineering
14.0801,"Civil Engineering, General"
14.0802,Geotechnical Engineering
14.0803,Structural Engineering
14.0804,Transportation and Highway Engineering
14.0805,Water Resources Engineering
14.0899,"Civil Engineering, Other"
14.0901,"Computer Engineering, General"
14.0903,Computer Software Engineering
14.0999,"Computer Engineering, Other"
14.1001,"Electrical, Electronics and Communications Engineering"
14.1101,Engineering Mechanics
14.1201,Engineering Physics
14.1301,Engineering Science
14.1401,Environmental/Environmental Health Engineering
14.1801,Materials Engineering
14.1901,Mechanical Engineering
14.2001,Metallurgical Engineering
14.2101,Mining and Mineral Engineering
14.2201,Naval Architecture and Marine Engineering
14.2301,Nuclear Engineering
14.2401,Ocean Engineering
14.2501,Petroleum Engineering
14.2701,Systems Engineering
14.2801,Textile Sciences and Engineering
14.3101,Materials Science
14.3201,Polymer/Plastics Engineering
14.3301,Construction Engineering
14.3401,Forest Engineering
14.3501,Industrial Engineering
14.3601,Manufacturing Engineering
14.3701,Operations Research
14.3801,Surveying Engineering
14.3901,Geological/Geophysical Engineering
14.9999,"Engineering, Other"
15,"Engineering Technology, General"
15.0101,Architectural Engineering Technology/Technician
15.0201,Civil Engineering Technology/Technician
15.0303,Electrical/Electronic/Communications Engr Technology/Technician
15.0304,Laser and Optical Technology/Technician
15.0305,Telecommunications Technology/Technician
15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other"
15.0401,Biomedical Technology/Technician
15.0403,Electromechanical Technology/Electromechanical Engineering Tech
15.0404,Instrumentation Technology/Technician
15.0405,Robotics Technology/Technician
,
15.0801,Aeronautical/Aerospace Engineering Technology/Technician
15.0803,Automotive Engineering Technology/Technician
15.0805,Mechanical Engineering/Mechanical Technology/Technician
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other"
15.0901,Mining Technology/Technician
15.0903,Petroleum Technology/Technician
15.0999,"Mining and Petroleum Technologies/Technicians, Other"
15.1001,Construction Engineering Technology/Technician
15.1102,Surveying Technology/Surveying
15.1103,Hydraulics and Fluid Power Technology/Technician
15.1199,"Engineering-Related Technologies, Other"
15.1201,Computer Engineering Technology/Technician
15.1202,Computer Technology/Computer Systems Technology
15.1203,Computer Hardware Technology/Technician
15.1204,Computer Software Technology/Technician
15.1299,"Computer Engineering Technologies/Technicians, Other"
15.1301,"Drafting and Design Technology/Technician, General"
15.1302,CAD/CADD Drafting and/or Design Technology/Technician
15.1303,Architectural Drafting and Architectural CAD/CADD
15.1304,Civil Drafting and Civil Engineering CAD/CADD
15.1305,Electrical/Electronics Drafting and Electrical/Elect CAD/CADD
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other"
15.1401,Nuclear Engineering Technology/Technician
15.1501,Engineering/Industrial Management
15.9999,"Engineering Technologies/Technicians, Other"